hash,filename,"(False, False)","(False, True)","(True, False)","(True, True)"
8f1b3744e52b2adb6475c3cd7a07ff9331e9c2fa,zutil.c,6,6,6,6
6cef1de7403b553ce8f7e790e38531da6529f34f,inflate.c,6,6,6,6
4423fef8dc5f13a157a3cded687525ca5c91ee4e,gzlib.c,6,6,6,6
4f1df003ed39280c2e4f62581888a62def3e34fe,gzwrite.c,6,6,6,6
93b0af4aa73c8debe2cc18e56101700423096146,inflate.h,6,6,6,6
9852c209ac49c0d8d1192e46115d7c37d4344bbd,inflate.c,6,6,6,6
9852c209ac49c0d8d1192e46115d7c37d4344bbd,inflate.h,6,6,6,6
9852c209ac49c0d8d1192e46115d7c37d4344bbd,zlib.h,6,6,6,6
33a7aff45da511c3fc181071394ad9a01d5e8d61,inflate.h,6,6,6,6
3fb251b363866417122fe54a158a1ac5a7837101,deflate.c,6,6,6,6
3fb251b363866417122fe54a158a1ac5a7837101,zlib.h,6,6,6,6
3fb251b363866417122fe54a158a1ac5a7837101,zutil.c,6,6,6,6
9aaec95e82117c1cb0f9624264c3618fc380cecb,inffast.c,6,6,6,6
6a043145ca6e9c55184013841a67b2fef87e44c0,inftrees.c,6,6,6,6
d1d577490c15a0c6862473d7576352a9f18ef811,crc32.c,6,6,6,6
e08118c401d5434b7b3a57039263f4fa9b1f7d1a,crc32.c,6,6,6,6
2edb94a3025d288dc251bc6cbb2c02e60fbd7438,inflate.c,6,6,6,6
7096424f23df1b1813237fb5f8bc8f34cfcedd0c,deflate.c,6,6,6,6
7096424f23df1b1813237fb5f8bc8f34cfcedd0c,deflate.h,6,6,6,6
7096424f23df1b1813237fb5f8bc8f34cfcedd0c,gzread.c,6,6,6,6
7096424f23df1b1813237fb5f8bc8f34cfcedd0c,gzwrite.c,6,6,6,6
7096424f23df1b1813237fb5f8bc8f34cfcedd0c,infback.c,6,6,6,6
7096424f23df1b1813237fb5f8bc8f34cfcedd0c,inflate.c,6,6,6,6
7096424f23df1b1813237fb5f8bc8f34cfcedd0c,trees.c,6,6,6,6
7096424f23df1b1813237fb5f8bc8f34cfcedd0c,zlib.h,6,6,6,6
7096424f23df1b1813237fb5f8bc8f34cfcedd0c,zutil.c,6,6,6,6
7d6956b6a148465947dbeacef654fecab9b31f55,example.c,2,2,2,2
7d6956b6a148465947dbeacef654fecab9b31f55,minigzip.c,2,2,2,2
ebbc57393d81c25c019851f6d9d7776baed0f4d7,zlib.h,6,6,6,6
da64f1730c480ca97c755009c27e20e7bfd56c16,deflate.c,6,6,6,6
a0bf0f31d30088333aacf0b886d606c81a54bf21,inftrees.c,6,6,6,6
049578f0a1849f502834167e233f4c1d52ddcbcc,deflate.c,6,6,6,6
77fd7e56bfc75b4194145060bb1ec5256ce077c6,zlib.h,6,6,6,6
b516b4bdd7c0c9f0858adfebf732089014f7b282,deflate.c,6,6,6,6
b516b4bdd7c0c9f0858adfebf732089014f7b282,inflate.c,6,6,6,6
b516b4bdd7c0c9f0858adfebf732089014f7b282,inflate.h,6,6,6,6
ce12c5cd00628bf8f680c98123a369974d32df15,zutil.h,6,6,6,6
bedea2483b6cf0f5af0f50010031bb56f5512124,adler32.c,6,6,6,6
bedea2483b6cf0f5af0f50010031bb56f5512124,crc32.c,6,6,6,6
bedea2483b6cf0f5af0f50010031bb56f5512124,gzguts.h,6,6,6,6
bedea2483b6cf0f5af0f50010031bb56f5512124,zutil.h,6,6,6,6
94575859cf7f657f0f31aff4c50761fe3f182699,deflate.c,6,6,6,6
03614c56ad299f9b238c75aa1e66f0c08fc4fc8b,deflate.c,6,6,6,6
03614c56ad299f9b238c75aa1e66f0c08fc4fc8b,zlib.h,6,6,6,6
a456d898bb5d81a5e33705bfe2d476af8d4fee98,trees.c,6,6,6,6
9674807c82ae06716a678d7374362acdb6f041b5,deflate.c,6,6,6,6
9674807c82ae06716a678d7374362acdb6f041b5,deflate.h,6,6,6,6
001300d0d91f75f03eed5ec97eca160452f62d61,zlib.h,6,6,6,6
37281ac222ee7ceb8cc3253f13c8fa26a88dd566,uncompr.c,6,6,6,6
37281ac222ee7ceb8cc3253f13c8fa26a88dd566,zlib.h,6,6,6,6
21c66cd5ac8876f48a19882074933c6275eaa022,trees.c,6,6,6,6
1101ea79c65c6f42c33a1e3a5d5eef38c00a30a2,gzwrite.c,6,6,6,6
7161ad76e2d0ac7de2a6235fcad3b9dfc99e9140,deflate.c,6,6,6,6
7161ad76e2d0ac7de2a6235fcad3b9dfc99e9140,zlib.h,6,6,6,6
9dc5a8585f429109ef1948ab71b6b71bfa7181e2,deflate.c,6,6,6,6
123f9cfaf7730dcc52c380eaf04c15dc3e0b15f8,gzlib.c,6,6,6,6
123f9cfaf7730dcc52c380eaf04c15dc3e0b15f8,gzwrite.c,6,6,6,6
123f9cfaf7730dcc52c380eaf04c15dc3e0b15f8,zlib.h,6,6,6,6
c5ee34c28a9144b1b5a5021d05ed29940c53010c,gzwrite.c,6,6,6,6
ca50ebd4dfd08dfd7e8c8bb087278e158cd67720,gzlib.c,6,6,6,6
ca50ebd4dfd08dfd7e8c8bb087278e158cd67720,gzread.c,6,6,6,6
ca50ebd4dfd08dfd7e8c8bb087278e158cd67720,gzwrite.c,6,6,6,6
ca50ebd4dfd08dfd7e8c8bb087278e158cd67720,minigzip.c,2,2,2,2
