repo,status
KDE/mycroft-plasmoid,Pass
KDE/websites-docs-plasma-mobile-org,Error
KDE/qmlonline,Error
KDE/licensedigger,Error
KDE/websites-hig-kde-org,Error
KDE/kquickimageeditor,Pass
KDE/kije,Pass
KDE/wikitolearn-math-backend,Error
KDE/wikitolearn-coursessecurity-backend,Error
KDE/maui-cinema,Pass
KDE/maui-communicator,Pass
KDE/kalk,Error
KDE/kontrast,Pass
KDE/plasma-disks,Error
KDE/plasma-systemmonitor,Pass
KDE/markdownpart,Pass
KDE/plasma-firewall,Error
KDE/krecorder,Pass
KDE/documentation-developer-kde-org,Error
KDE/seexpr,Error
KDE/pokipoki,Pass
KDE/documentation-develop-kde-org,Error
KDE/maui-shelf,Pass
KDE/arkade,Pass
KDE/kseexpr,Error
KDE/kosmindoormap,Error
KDE/neochat,Pass
KDE/kgeotag,Pass
KDE/maui-booth,Pass
KDE/maui-sol,Pass
KDE/kopeninghours,Pass
KDE/totalreqall,Pass
KDE/qqc2-breeze-style,Error
KDE/drkonqi-pk-debug-installer,Pass
KDE/mygnuhealth,Error
KDE/kweathercore,Error
KDE/yocto-meta-kde-demo,Error
KDE/neon-neon-repositories,Error
KDE/kio-s3,Error
KDE/pikasso,Error
KDE/kde-nomodeset,Pass
KDE/kinfocenter,Pass
