repo,status
KDE/step,Pass
KDE/ksecrets,Error
KDE/kdev-php,Error
KDE/person-viewer,Pass
KDE/kte-collaborative,Pass
KDE/kreversi,Pass
KDE/libkdegames,Error
KDE/kdecoration,Pass
KDE/kdenlive,Error
KDE/kcharselect,Pass
KDE/ktexteditor,Error
KDE/nepomuk-web-extractor,Pass
KDE/automoc,Pass
KDE/analitza,Error
KDE/audiocd-kio,Pass
KDE/milou,Pass
KDE/libdebconf-kde,Pass
KDE/kaccounts-integration,Error
KDE/ksshaskpass,Pass
KDE/appmenu-runner,Pass
KDE/notificationsurvey,Pass
KDE/libkmahjongg,Pass
KDE/akonadi-vkontakte,Pass
KDE/libkgapi,Pass
KDE/nepomuk-tools,Pass
KDE/emerge-history,Error
KDE/plasma-pa,Pass
KDE/phoneblocker,Pass
KDE/libqgit2,Error
KDE/krita-linesampler,Pass
KDE/korundum,Pass
KDE/kdeadmin-strigi-analyzers,Pass
KDE/synchrotron-sources,Error
KDE/kdevelop,Error
KDE/blinken,Pass
KDE/libkexiv2,Pass
KDE/kigo,Pass
KDE/kile,Error
KDE/kdenetwork-filesharing,Pass
KDE/bodega-webapp-manager,Error
KDE/libkfbapi,Pass
KDE/kdev-xdebug,Error
KDE/tellico,Error
KDE/whoopsie-kcm,Pass
KDE/koffice-chartingshape,Pass
KDE/kdegraphics-mobipocket,Pass
KDE/ktp-common-internals,Error
KDE/kmenuedit,Pass
KDE/kubuntu-notification-helper,Error
KDE/ark,Error
KDE/kdevelop-pg-qt,Pass
KDE/koffice-videoshape,Pass
KDE/libringclient,Pass
KDE/digikam-doc,Pass
KDE/kdisksutilities,Pass
KDE/bluez-qt,Error
KDE/digikam-software-compilation,Error
KDE/kdev-xml,Pass
KDE/klettres,Pass
KDE/telepathy-morse,Error
KDE/kopete-smpppdcs,Pass
KDE/krita-analogies,Pass
KDE/akonadi-google-applets,Pass
KDE/bodega-server,Pass
KDE/cmetronome,Pass
KDE/kitemmodels,Error
KDE/xbuilder,Error
KDE/kapa,Error
KDE/khtml,Pass
KDE/nepomuk-widgets,Pass
KDE/choqok,Pass
KDE/kdesvn,Error
KDE/kdeexamples,Error
KDE/akunambol,Pass
KDE/kpackage,Error
KDE/ktp-call-ui,Pass
KDE/kplayer,Pass
KDE/kdev-ruby,Error
KDE/krono,Pass
KDE/kubuntu-driver-kcm,Pass
KDE/gluon,Error
KDE/phonon-mmf,Pass
KDE/simon,Pass
KDE/kwrited,Error
KDE/kgraphviewer,Pass
KDE/dferry,Pass
KDE/kdeconnect-kde,Error
KDE/lancelot,Pass
KDE/ktp-send-file,Pass
KDE/plasma-nm,Error
KDE/nepomuktvnamer,Pass
KDE/kwindowsystem,Error
KDE/photobook,Pass
KDE/bangarang,Pass
KDE/kcrash,Error
KDE/kpat,Error
KDE/kopete-sharemydesktop,Pass
KDE/amarok-history,Error
KDE/kross,Pass
KDE/krusader,Pass
KDE/ktutorial,Pass
KDE/kdev-valgrind,Pass
KDE/kiconthemes,Error
KDE/knotifyconfig,Error
KDE/audex,Pass
KDE/rkward,Error
KDE/ktux,Pass
KDE/kimageformats,Error
KDE/marble,Error
KDE/mplayerthumbs,Pass
KDE/kproperty,Error
KDE/artikulate-data,Error
KDE/ministro,Error
KDE/parley,Pass
KDE/plasma-phone-components,Pass
KDE/kio-mtp,Pass
KDE/krita-humanbody,Pass
KDE/knipptasch,Pass
KDE/kdev-php-formatter,Pass
KDE/user-manager,Error
KDE/kwordquiz,Pass
KDE/libkdcraw,Pass
KDE/libmediawiki,Pass
KDE/kronometer,Pass
KDE/kwallet-pam,Error
KDE/kmailtransport,Error
KDE/plasma-mediacenter,Error
KDE/kget,Error
KDE/kio-upnp-ms,Pass
KDE/symboleditor,Pass
KDE/qtatspi,Pass
KDE/kcalc,Error
KDE/kmime,Pass
KDE/gestures-kde,Pass
KDE/ebookreader,Error
KDE/kbibtex,Error
KDE/kdoctools,Error
KDE/kopete-scripting,Pass
KDE/kdesrc-build,Pass
KDE/polkit-kde-agent-1,Pass
KDE/cocoon,Pass
KDE/kmbox,Error
KDE/kapptemplate,Pass
KDE/kiten,Pass
KDE/kdbusaddons,Error
KDE/xutils,Error
KDE/mrdanga-player,Pass
KDE/dolphin,Error
KDE/ktp-nepomuk-service,Error
KDE/kconfigwidgets,Error
KDE/sonnet,Error
KDE/rocs,Error
KDE/plasma-phone-dev-setup,Error
KDE/plasma-settings,Pass
KDE/koko,Error
KDE/plasmoid-eventlist,Error
KDE/kqtquickcharts,Pass
KDE/kmousetool,Pass
KDE/kio-extras,Error
KDE/cirkuit,Pass
KDE/ktp-presence-dataengine,Pass
KDE/lokalize,Pass
KDE/filelight,Error
KDE/zeroconf-ioslave,Pass
KDE/attica,Error
KDE/kdewin,Error
KDE/kprinter4,Pass
KDE/artikulate,Error
KDE/heaptrack,Error
KDE/krunner,Error
KDE/krita-dither,Pass
KDE/plasma-systemd-integration,Error
KDE/kasync,Error
KDE/perlqt,Error
KDE/kdev-crossfire,Pass
KDE/kdeconnect-android,Error
KDE/koffice-texthighlight,Pass
KDE/strigidaemon,Error
KDE/klickety,Pass
KDE/kgoldrunner,Pass
KDE/kdev-python,Error
KDE/kaccessible,Pass
KDE/katomic,Pass
KDE/amarok,Error
KDE/ksmtp,Error
KDE/akonadi-calendar,Error
KDE/khangman,Pass
KDE/akonadi-phabricator-resource,Error
KDE/phonon-mplayer,Pass
KDE/kdevplatform,Pass
KDE/ufw-kde,Pass
KDE/krita-grayscalizer,Pass
KDE/plasma-mobile-design-docs,Error
KDE/ktp-kipi-plugin,Pass
KDE/karchive,Error
KDE/kemoticons,Error
KDE/breeze-icons,Error
KDE/yakuake,Pass
KDE/libbluedevil,Pass
KDE/kbounce,Pass
KDE/networkmanager-qt,Error
KDE/kpeg,Pass
KDE/ktp-test-tool,Pass
KDE/libkomparediff2,Pass
KDE/kdecoration-viewer,Pass
KDE/colord-kde,Pass
KDE/libqsystemd,Pass
KDE/ksirk,Pass
KDE/kjsembed,Pass
KDE/bomber,Pass
KDE/pykde5,Pass
KDE/oxygen-fonts,Pass
KDE/krita-pyramidalsharpening,Pass
KDE/plasma-angelfish,Error
KDE/kaccounts-providers,Pass
KDE/libkcddb,Pass
KDE/kdepim-runtime,Error
KDE/nepomuk-webminer,Pass
KDE/smb4k,Pass
KDE/ktp-testlib,Pass
KDE/kde-ruleset,Error
KDE/krecipes,Error
KDE/publictransport,Pass
KDE/tupi,Error
KDE/kshisen,Pass
KDE/ki18n,Error
KDE/dragon,Pass
KDE/syndication,Error
KDE/kwidgetsaddons,Error
KDE/kglobalaccel,Error
KDE/khipu,Pass
KDE/printer-applet,Pass
KDE/contour,Pass
KDE/kmplot,Pass
KDE/ktp-ssh-contact,Pass
KDE/kdev-clang,Error
KDE/qmlweb,Error
