kdevpgqt_generate,10
kdevplatform_add_plugin,13
doxygen_add_docs,1
ecm_add_wayland_client_protocol,30
ecm_add_wayland_server_protocol,71
ecm_add_qtwayland_server_protocol,1
kwaylandtest,1
kde3_automoc,6
kde3_add_kpart,6
kde_source_files_enable_exceptions,14
externalproject_get_property,5
make_directory,3
find_python_module,1
python_install,5
add_sip_python_module,26
bison_target,8
flex_target,8
add_flex_bison_dependency,7
kservice_unit_tests,3
baloo_engine_auto_tests,2
baloo_codecs_auto_tests,1
option,70
unit_tests,2
gettext_process_po_files,58
plasma_install_package,90
add_kded_test,2
tpqt_xincludator,2
tpqt_constants_gen,1
tpqt_types_gen,1
tpqt_client_generator,1
tplqt_generate_headers,1
frameworkintegration_tests,9
kaccounts_add_service,7
kaccounts_add_provider,6
write_basic_config_version_file,5
kst_option_init,1
kst_option,29
kst_revision_project_name,1
kstrevisionheader,1
link_large_address,2
kst_option_list_all,1
kst_init,9
kst_include_directories,6
kst_files_ignore,5
kst_files_find,5
kst_dont_merge,2
kst_add_library,4
kst_link,46
kst_add_resources,2
kst_find_info_files,2
kst_add_info_files,1
kst_add_executable,3
kst_install_executable,1
kst_init_plugin,3
kst_add_plugin,61
kst_flat_source_group,1
kst_add_plugin_lib,1
kst_add_test,2
kst_add_files,1
trojita_option,12
trojita_find_package,12
trojita_plugin_option,5
add_compiler_export_flags,1
ragel_parser,1
qt5_wrap_po,1
trojita_add_plugin,5
copy_desktop_file_without_cruft,1
automoc4_add_executable,2
kauth_install_actions,20
kde_target_enable_exceptions,14
detect_libkexiv2,1
step_process_xml_translation,3
stepcore_unit_tests,1
automoc4,2
exec_program,7
nepomuk_add_simpleresource_classes,2
plasma_install_bundled_package,2
kde3_add_ui_files,2
add_compile_flag_if_supported,12
kauth_install_helper_files,19
qt4_wrap_ui,7
ecm_gperf_generate,3
build_test,4
kpackagetool5test,1
gluon_add_library,4
gluon_add_subdirectories,3
gluon_add_plugin,5
add_compile_definitions,4
capnp_generate_cpp,1
kwindowsystem_unit_tests,2
kwindowsystem_executable_tests,1
mem_tests,14
kimageformats_write_tests,1
add_tests,1
add_examples,1
kproperty_add_icons_rcc_file,1
parley_gui_unittests,1
parley_non_gui_unittests,1
qt4_add_translation,1
mediawiki_test_resources,1
add_kmime_test,1
kdoctools_encode_uri,1
kde_package_app_templates,4
kdbusaddons_tests,1
generate_and_install_dbus_interface,1
qt_add_resources,1
qt_wrap_ui,2
check_c_source_compiles,5
gettext_create_translations,1
check_taglib_filename,1
add_akonadi_isolated_test_advanced,16
kcfg_generate_dbus_interface,11
networkmanagerqt_autotests,1
qsystemd_process_json,1
qsystemd_add_dbus_interface,5
qsystemd_process_source_file,4
corrosion_import_crate,2
compiler_warnings,1
wrap_proto,1
ecm_generate_dbus_service_file,2
pykde4_add_executable,1
keyboard_daemon_unit_tests,2
ecm_export_header_format_version,1
macro_kt_plugin,16
qtest_add_mem_test,9
kde_install_python_files,3
kde_add_python_executable,2
keduvocdocument_non_gui_unit_tests,1
keduvocdocument_gui_unit_tests_static,1
keduvocdocument_executable_tests,1
veri_add_mem_test,11
get_library_output_dir,1
find_dependency,1
kparts_executable_tests,1
koffice_add_benchmark,2
check_c_compiler_flag,1
check_include_files_cxx,2
write_file,2
kwave_plugin,30
find_required_program,1
kscreen_add_test,13
mula_unit_tests,1
add_generate_export_header_consumer_no_deprecated_test,1
cxx_check_feature,1
create_theme,3
ocaml_mli_to_cmi,5
ocaml_ml_to_cmx,8
kirigami_package_breeze_icons,17
plasma_install_desktoptheme_svgs,21
ecm_generate_qmltypes,7
buildinstall_standard_plugin,3
create_c_array,1
to_raw_string_literal,1
_pkgconfig_invoke,1
cmake_c_fix_include_path,2
cmake_c_include_fix_path,1
setup_qt5_dirs,1
normalize_path,2
target_link_qca_test_libraries,27
add_qca_test,25
target_link_qca_libraries,22
install_pdb,2
zanshin_feature_tests,7
zanshin_manual_tests,2
zanshin_auto_tests,7
zanshin_akonadi_auto_tests,2
create_license,1
query_qmake,2
ktelepathy_setup_test_environment,1
add_ktelepathy_nepomuk_test,6
add_device_backends_begin,1
add_device_backend,12
add_device_backends_cmake,1
add_device_backends_build,1
kdb_add_tests,1
kdb_add_examples,1
kde4_update_iconcache,1
macro_add_unittest_definitions,1
ie_unit_tests,1
add_akonadi_isolated_test,1
add_mimetreeparser_crypto_unittest,4
kexi_add_tests,1
ensure_out_of_source_build,1
detect_release_build,1
kexi_add_library,1
check_qt5_private_include_dirs,1
add_gpg_crypto_test,2
add_akonadimime_test,1
qt_generate_dbus_interface,3
target_precompile_headers,6
generate_php_syntax_definition,6
test,4
byacc_target,1
add_flex_byacc_dependency,1
add_qt1_object_library,4
qt1_wrap_cpp,11
install_kdegmo,1
install_charsets,1
create_kde1_config_header,1
install_icon,408
qt1_wrap_header,2
"install_iconline 2:16 extraneous input 'IN' expecting {AND, COMMAND, FUNCTION, OR, EXISTS, TARGET, EQ, POLICY, '(', ')', CONSTANTS, Identifier, DECIMAL, Unquoted_argument, Quoted_argument, Bracket_argument}",1
install_gmo,43
kde4_add_ui3_files,1
